V1	avg
chr10:100281	Inf
chr10:100989	0.0378878533015115
chr10:101058	Inf
chr10:101072	0.0134130524347549
chr10:101394	0.00957450696268003
chr10:101404	0.00990085389145313
chr10:10150	0.0121424421758225
chr10:10151	0.0103940112498074
chr10:101767	0.056102980103462
chr10:101885	0.0125291637217447
chr10:101941	Inf
chr10:102163	0.0205947128641936
chr10:102693	0.0127785271077144
chr10:10306	0.0136402590737459
chr10:1036	0.0454814354070661
chr10:103906	0.00865280859872612
chr10:1040	0.019631887933021
chr10:104704	0.0151539453778167
chr10:104715	0.0149574488772097
chr10:10484	0.0115812258014797
chr10:104945	Inf
chr10:10514	0.00913241179190751
chr10:105362	0.012225531299777
chr10:105366	
chr10:105378	0.0176831930062132
chr10:105406	0.0160484655460846
chr10:105408	Inf
chr10:105497	Inf
chr10:105584	0.0185952729880478
chr10:105734	0.0294603937365527
chr10:105744	0.0402392999681224
chr10:106184	Inf
chr10:106269	0.0200624164674
chr10:106562	0.0266898703866082
chr10:106701	0.0443496333705357
chr10:106787	0.00947739480188153
chr10:106974	0.0130347618402169
chr10:107001	0.0123810566940435
chr10:107026	Inf
chr10:107028	Inf
chr10:107441	Inf
chr10:107501	Inf
chr10:107759	0.0122220848755584
chr10:108259	0.0339061587554847
chr10:108285	0.0110574337003351
chr10:108327	Inf
chr10:108509	Inf
chr10:108513	Inf
chr10:109461	0.0432685221069433
chr10:109513	Inf
chr10:109542	Inf
chr10:109942	0.0101271031372236
chr10:110185	Inf
chr10:110297	Inf
chr10:110301	Inf
chr10:110524	Inf
chr10:110539	0.0132346743331736
chr10:110815	0.0192358029710087
chr10:110833	0.0185274138977636
chr10:110839	0.0184489726815241
chr10:110840	0.00945774269052564
chr10:111006	0.0187068313493649
chr10:111375	0.0191551233620965
chr10:111379	Inf
chr10:111467	Inf
chr10:111517	Inf
chr10:111521	Inf
chr10:111663	0.012234613939733
chr10:111678	Inf
chr10:111801	0.0114165910144696
chr10:112105	0.0217809521106492
chr10:112158	
chr10:112318	Inf
chr10:112436	0.0118698177528988
chr10:112437	0.0591694628918746
chr10:112721	0.0343010243141646
chr10:112732	0.00907617853143497
chr10:112746	Inf
chr10:112864	Inf
chr10:113158	0.0105352845027602
chr10:113467	0.0149348561369819
chr10:113536	0.0125852657437785
chr10:113743	0.0100672605633803
chr10:113788	0.0124187360544218
chr10:113912	0.0156390238514487
chr10:114053	0.0488061866645321
chr10:114151	Inf
chr10:114424	Inf
chr10:114443	0.0098794321857486
chr10:115029	0.0313664933941869
chr10:115032	0.0378899210442024
chr10:11505	Inf
chr10:115387	Inf
